Category,Subcategory,Product,Variants
Cakes,Chocolate Cakes,Chocolate Cake,500g:850
Cakes,Chocolate Cakes,Chocolate with buttercream,500g:900
Cakes,Chocolate Cakes,Belgian Chocolate Cake,500g:850
Cakes,Chocolate Cakes,New York Chocolate Cake,500g:750
Cakes,Chocolate Cakes,Nutella Hazelnut,500g:750
Cakes,Chocolate Cakes,Mocha Cake,500g:750
Cakes,Chocolate Cakes,Chocolate Orange With Vanilla,500g:700
Cakes,Chocolate Cakes,Chocolate Mousse Cake,500g:700
Small Bakes,Cookies,Hot Cookies ,"500g:700,1kg:1400"
Cakes,Cheesecakes,Blueberry Cake,"500g:700,1kg:1400"
Cakes,Cheesecakes,Tiramisu Cake,"500g:900,1kg:1800"
Cakes,Cheesecakes,Biscoff Cake,500g:800
Cakes,Cheesecakes,Hazelnut Praline Cheesecake,1kg:2400
Cakes,Cheesecakes,Nutella Cheesecake,1kg:2000
Cakes,Cheesecakes,Biscoff Cheesecake,1kg:2000
Cakes,Cheesecakes,Blueberry Cheesecake,1kg:2000
Custom Cakes,Anniversary Cakes,Anniversary Cake,"500g:900,1kg:1800"
