category_name,subcategory_name,product_name,per_piece,0.5lb,1lb,1.5lb,2lb,2.5lb,3lb,3.5lb,4lb,4.5lb,5lb,is_chef_special,dietary_tag,is_veg
Cakes,"Floral Birthday","Floral Graphic Cake",,,1400.00,2100.00,2800.00,3500.00,4200.00,,5600.00,,,0,Eggless,1
Cakes,"Classic Tiered","Wafer Paper 2 Tier",,,,,,4125.00,4950.00,,6600.00,,8250.00,0,Eggless,1
Cakes,"Classic Chocolate","Choco Mango Biscoff",,,1400.00,2100.00,2800.00,3500.00,4200.00,,5400.00,,,0,Eggless,1
"Signature Cakes","Classic Non Chocolate","Classic Mango Gateau",,,1350.00,2025.00,2700.00,,4050.00,,5400.00,,6750.00,0,Eggless,1
"Signature Cakes","Non Chocolate Cheesecake","Mango Cheesecake",,,1300.00,1950.00,2600.00,,3900.00,,5200.00,,,0,Eggless,1
"Signature Cakes","Non Chocolate Cheesecake","Summer Coulis Cheesecake",,,1300.00,1950.00,2600.00,,3900.00,,,,,0,Eggless,1
"Signature Cakes",Opera,"Mango Opera",,,1350.00,2025.00,2700.00,3375.00,4050.00,,5400.00,,,0,Eggless,1
"Signature Cakes","Tart Cake","Mango Tart Cake",,,1100.00,,2200.00,,3300.00,,4400.00,,,0,Eggless,1
Other,General,"Mango Rose Gateau",,,1350.00,1950.00,2600.00,,3900.00,,,,,0,Eggless,1
Cakes,"Non Floral Birthday","Red Hearts Textured",,,1500.00,2250.00,3000.00,3750.00,4500.00,,6000.00,,,0,Eggless,1
Cakes,"Non Floral Birthday","Ruffles Writing Cake",,,1550.00,2325.00,3100.00,3875.00,4500.00,,6000.00,,,0,Eggless,1
Cakes,"Themed Birthday","You are Gold",,,1650.00,2475.00,3200.00,,4800.00,,6200.00,,,0,Eggless,1
Cakes,"Floral Anniversary","Textured Floral",,,1550.00,2325.00,3100.00,3750.00,4500.00,,6000.00,,,0,Eggless,1
Cakes,"Floral Anniversary","Semi Naked 2 Tier",,,,,3000.00,3750.00,4500.00,,6000.00,,7500.00,0,Eggless,1
Cakes,"Floral Anniversary","2 Tier Peach Marbling",,,,,,,4650.00,5425.00,6200.00,,7750.00,0,Eggless,1
Cakes,"Floral Birthday","2 Tier Off white and Blue",,,,,3100.00,3875.00,4500.00,,6000.00,,7500.00,0,Eggless,1
Cakes,"Floral Anniversary","2 Tier Baby Pink",,,,,3200.00,4000.00,4650.00,,6000.00,,7500.00,0,Eggless,1
Cakes,"Floral Anniversary","2 Tier Gold and White",,,,,3200.00,4000.00,4650.00,,6000.00,,7500.00,0,Eggless,1
Cakes,"Non Floral Birthday","Crossword Cake",,,1550.00,2250.00,3000.00,3750.00,4500.00,,,,,0,Eggless,1
Cakes,"Non Floral Birthday","Bin Cake",,,1550.00,2325.00,3100.00,3875.00,4650.00,,,,,0,Eggless,1
"Signature Cakes","Tart Cake","2 Number Tarts",,,,,2200.00,,3300.00,,4400.00,,5500.00,0,Eggless,1
Cakes,"Floral Anniversary","Off White Floral",,,1500.00,2250.00,3000.00,3625.00,4350.00,,5800.00,,,0,Eggless,1
Cakes,"Non Floral Birthday","Square Marbled Boho",,,1550.00,2325.00,3100.00,3750.00,4500.00,,6000.00,,,0,Eggless,1
Cakes,"Non Floral Birthday","Black & Gold Faultline",,,1550.00,2323.00,3100.00,3875.00,4500.00,,6000.00,,,0,Eggless,1
Cakes,"Non Floral Birthday","Heart with Pearls",,,1500.00,2250.00,3000.00,3750.00,4500.00,,6000.00,,,0,Eggless,1
Cakes,"Non Floral Birthday","Bow Round",,,1500.00,2250.00,3000.00,3750.00,4350.00,,5800.00,,,0,Eggless,1
Cakes,"Non Floral Birthday","Heart Bow",,,1450.00,2175.00,2900.00,3625.00,4350.00,,5800.00,,,0,Eggless,1
Cakes,"Floral Anniversary","Pink Floral",,,1500.00,2250.00,3000.00,3750.00,4350.00,,,,,0,Eggless,1
Cakes,"Non Floral Birthday","Grey Faultline",,,1550.00,2325.00,3100.00,3875.00,4500.00,,6000.00,,,0,Eggless,1
Cakes,"Non Floral Birthday","Blue and Gold Cake",,,1500.00,2250.00,3000.00,3750.00,4500.00,,,,,0,Eggless,1
Cakes,"Kids Birthday","KitKat Cake",,,1550.00,2325.00,3100.00,3875.00,4500.00,,6000.00,,,0,Eggless,1
"Signature Cakes","Tart Cake","Double Chocolate Mousse with Praline Feulletine Crunch Tart",,700.00,1350.00,2025.00,2700.00,3375.00,4050.00,,,,,0,Eggless,1
"Signature Cakes","Tea Cakes","Marble Biscoff Tea Cake",,,1100.00,1650.00,2200.00,2750.00,3300.00,,,,,0,Eggless,1
"Signature Cakes","Tea Cakes","Cappucino Tea Cake with Praline Feulletine Crunch",,,1100.00,1650.00,2200.00,2750.00,3300.00,,,,,0,Eggless,1
"Signature Cakes",Opera,"Praline Crunch Opera",,,1350.00,2025.00,2700.00,3375.00,4050.00,,5400.00,,,0,Eggless,1
"Signature Cakes","Classic Non Chocolate","Vanilla Praline Feulletine Crunch",,,1350.00,2025.00,2700.00,3375.00,4050.00,,5400.00,,,0,Eggless,1
Other,General,"Bouquet Hamper",900.00,,,,,,,,,,,0,Eggless,1
